Data,Channel,Username,OriginalMessage,Message
2023-01-28 21:54:26,nmplol ,slidax_,Ogre,ogr
2023-01-28 21:54:31,nmplol ,hot_sauce_addict,Ogre,ogr
2023-01-28 21:31:31,nmplol ,jenn_ava,LMAOOOO,lmaoooo
2023-01-28 21:32:48,nmplol ,goten3212,Lmaoooo,lmaoooo
2023-01-28 21:34:30,nmplol ,cherryydelightt,LMAOOOO,lmaoooo
2023-01-28 21:41:19,nmplol ,drealwk,LMAOOOO,lmaoooo
2023-01-28 21:44:16,nmplol ,harleyj,LMAOOOO,lmaoooo
2023-01-28 21:45:20,nmplol ,o_empress,LMAOOOO,lmaoooo
2023-01-28 21:31:33,nmplol ,eaater,NMPls,nmpl
2023-01-28 21:31:35,nmplol ,echodrop,Copium,copium
2023-01-28 21:35:29,nmplol ,abetek,COPIUM,copium
2023-01-28 21:35:31,nmplol ,thecowboyshrimp,COPIUM,copium
2023-01-28 21:35:32,nmplol ,jerrybear_,COPIUM,copium
2023-01-28 21:35:33,nmplol ,waagles,COPIUM,copium
2023-01-28 21:35:33,nmplol ,bader0419,COPIUM,copium
2023-01-28 21:35:34,nmplol ,t_e_v_e,COPIUM,copium
2023-01-28 21:35:36,nmplol ,slide1,COPIUM,copium
2023-01-28 21:35:36,nmplol ,benthejoe,COPIUM,copium
2023-01-28 21:35:36,nmplol ,zwettekop,COPIUM,copium
2023-01-28 21:35:37,nmplol ,haceitoka34rs,COPIUM,copium
2023-01-28 21:35:39,nmplol ,kentaro777,COPIUM,copium
2023-01-28 21:35:39,nmplol ,chheepos,COPIUM,copium
2023-01-28 21:35:41,nmplol ,kaliboss,COPIUM,copium
2023-01-28 21:35:41,nmplol ,mmillz47,COPIUM,copium
2023-01-28 21:35:41,nmplol ,tipetitap,COPIUM,copium
2023-01-28 21:35:41,nmplol ,tommy_roller,COPIUM,copium
2023-01-28 21:35:41,nmplol ,haruiswaifu,COPIUM,copium
2023-01-28 21:35:44,nmplol ,jor3ns,COPIUM,copium
2023-01-28 21:37:38,nmplol ,rivendelll420,COPIUM,copium
2023-01-28 21:39:13,nmplol ,burtramp,COPIUM,copium
2023-01-28 21:41:17,nmplol ,bader0419,COPIUM,copium
2023-01-28 21:41:20,nmplol ,soldiersprivate,COPIUM,copium
2023-01-28 21:41:21,nmplol ,haceitoka34rs,COPIUM,copium
2023-01-28 21:45:10,nmplol ,hughmungusmistake,COPIUM,copium
2023-01-28 21:46:12,nmplol ,jerrybear_,COPIUM,copium
2023-01-28 21:48:44,nmplol ,hughmungusmistake,COPIUM,copium
2023-01-28 21:51:17,nmplol ,sfmuges1,COPIUM,copium
2023-01-28 21:53:54,nmplol ,skylarklul,COPIUM,copium
2023-01-28 21:54:20,nmplol ,kvazio,COPIUM,copium
2023-01-28 21:54:28,nmplol ,xking5v,COPIUM,copium
2023-01-28 21:54:28,nmplol ,619srt,COPIUM,copium
2023-01-28 21:31:47,nmplol ,vmpb1,comedyCheer,comedych
2023-01-28 21:42:36,nmplol ,tennhoosier1,comedyCheer comedyCheer,comedych
2023-01-28 21:31:50,nmplol ,batmaln,Lamon,lamon
2023-01-28 21:32:00,nmplol ,cqff3,Lamon,lamon
2023-01-28 21:32:33,nmplol ,batmaln,Lamon,lamon
2023-01-28 21:32:48,nmplol ,danny__1133,Lamon,lamon
2023-01-28 21:32:48,nmplol ,shephardvolgin,Lamon,lamon
2023-01-28 21:32:49,nmplol ,ipman_4,Lamon,lamon
2023-01-28 21:32:50,nmplol ,kappatm,Lamon,lamon
2023-01-28 21:34:18,nmplol ,bluebacon11,Lamon,lamon
2023-01-28 21:35:19,nmplol ,xo_far,Lamon,lamon
2023-01-28 21:35:25,nmplol ,th3d0rkkn1ght,Lamon,lamon
